title,addr,mapx,mapy,contenttypeid
송해기념관 선비체험관,대구광역시 달성군 옥포읍 옥포로56길 5,128.4888526,35.77169304,12
송해둘레길,대구광역시 달성군 옥포읍 기세리,128.4802586,35.78031413,12
송호지공원,대구광역시 동구 율암로 167 (상매동),128.7055191,35.88945315,12
수도암(대구),대구광역시 달성군 유가면 유가사길 161,128.5073942,35.71415544,12
수목원생활온천,대구광역시 달서구 상화로 79 (진천동),128.5227152,35.80815065,12
수봉정사,대구광역시 달성군 화원읍 인흥3길 16,128.5180494,35.79255788,12
수성구립 고산도서관,대구광역시 수성구 달구벌대로650길 6 고산도서관,128.710659,35.83794796,14
수성구립 범어도서관,대구광역시 수성구 달구벌대로 2451,128.6306821,35.85938573,14
수성구립 용학도서관,대구광역시 수성구 지범로41길 36,128.646104,35.82123755,14
수성못상화동산,대구광역시 수성구 무학로 112 (두산동),128.6206033,35.82941949,12
수성아트피아,대구광역시 수성구 무학로 180,128.6282831,35.8294724,14
수성패밀리파크,대구광역시 수성구 팔현길 88-46,128.6743279,35.87009088,12
수태골,대구광역시 동구 팔공산로 1037-10 (용수동),128.6813433,35.99361868,12
스파크랜드,대구광역시 중구 동성로6길 61,128.5987652,35.86875074,12
신무동마애불좌상,대구광역시 동구 용천로 438-12 (신무동),128.6713943,35.98946619,12
신미화랑,대구광역시 중구 봉산문화길 34,128.5981071,35.86163209,14
신서 중앙공원,대구광역시 동구 동내로 117,128.7341502,35.88099631,12
신숭겸장군유적,대구광역시 동구 신숭겸길 17,128.6409789,35.94211544,12
신암공원,대구광역시 동구 큰고개로 51 (신암동),128.6244568,35.88934333,12
신전뮤지엄(신전히스토리뮤지엄),대구광역시 북구 관음로 43 (관음동),128.5401046,35.9347894,14
신흥사(군위),대구광역시 군위군 고산길 262 신흥사,128.6284519,36.1500805,12
심플책방,대구광역시 동구 동부로34길 4,128.6305899,35.87715038,14
아르떼수성랜드,대구광역시 수성구 무학로 42,128.6133984,35.82861389,12
"아양아트센터(구, 동구문화체육회관)",대구광역시 동구 효동로2길 24,128.6516464,35.87932552,14
안일사(대구),대구광역시 남구 대명동,128.5755657,35.82368875,12
압곡사(군위),대구광역시 군위군 고로면 현리낙전길 836-144,128.8123568,36.18974054,12
앞산빨래터공원,대구광역시 남구 앞산순환로 365 (대명동),128.5657358,35.83244313,12
양산서원,대구광역시 군위군 부계면 남산4길 32,128.6403649,36.04733128,12
양천서원,대구광역시 군위군 군위읍 내외량길 243-55,128.5378655,36.24779271,12
엄마아빠어렸을적에,대구광역시 군위군 산성면 산성가음로 722,128.6966743,36.12783708,12
에스투뷰텍 뷰라운지,대구광역시 수성구 달구벌대로528길 15 (만촌동),128.649625,35.85534209,12
엑스코(EXCO),대구광역시 북구 엑스코로 10,128.6130934,35.90711889,14
엘리몽,대구광역시 달서구 조암로 38 (월성동),128.525684,35.82501824,12
엘리바덴 월성점,대구광역시 달서구 조암로 38,128.5256756,35.82502101,12
연암공원,대구광역시 북구 산격동,128.6005253,35.90044441,12
연암서당골,대구광역시 북구 연암로 180,128.5965784,35.90053877,12
열락당,대구광역시 달서구 상인로 134-13,128.5453907,35.81882763,12
